node1,node2,Layer
OMA00333,OMA00415,PPI
OMA00365,OMA00415,PPI
OMA00410,OMA00415,PPI
OMA00415,OMA00304,PPI
OMA00415,OMA00686,PPI
OMA00415,OMA00897,PPI
OMA00415,OMA02097,PPI
OMA00415,OMA02656,PPI
OMA00415,OMA03541,PPI
OMA00421,OMA00415,PPI
OMA00505,OMA00415,PPI
OMA00514,OMA00415,PPI
OMA00573,OMA00415,PPI
OMA00701,OMA00415,PPI
OMA00819,OMA00415,PPI
OMA01133,OMA00415,PPI
OMA01472,OMA00415,PPI
OMA01551,OMA00415,PPI
OMA01746,OMA00415,PPI
OMA01750,OMA00415,PPI
OMA01880,OMA00415,PPI
OMA01990,OMA00415,PPI
OMA02087,OMA00415,PPI
OMA02101,OMA00415,PPI
OMA02571,OMA00415,PPI
OMA02589,OMA00415,PPI
OMA02692,OMA00415,PPI
OMA02756,OMA00415,PPI
OMA02814,OMA00415,PPI
OMA03046,OMA00415,PPI
OMA03304,OMA00415,PPI
OMA03447,OMA00415,PPI
OMA03654,OMA00415,PPI
OMA03659,OMA00415,PPI
OMA04165,OMA00415,PPI
OMA04277,OMA00415,PPI
OMA04352,OMA00415,PPI
OMA04677,OMA00415,PPI
OMA04770,OMA00415,PPI
OMA04839,OMA00415,PPI
OMA04988,OMA00415,PPI
OMA04992,OMA00415,PPI
OMA05526,OMA00415,PPI
OMA05616,OMA00415,PPI
OMA05716,OMA00415,PPI
OMA05869,OMA00415,PPI
OMA00415,OMA00415,PPI
OMA00415,OMA00897,PPI
OMA00090,OMA00897,Metabolic
OMA00897,OMA00075,Metabolic
OMA00897,OMA00117,Metabolic
OMA00897,OMA00415,Metabolic
OMA00897,OMA01675,Metabolic
OMA00897,OMA04840,Metabolic
OMA01268,OMA00897,Metabolic
OMA01446,OMA00897,Metabolic
OMA00021,OMA00897,PPI
OMA00034,OMA00897,PPI
OMA00039,OMA00897,PPI
OMA00090,OMA00897,PPI
OMA00097,OMA00897,PPI
OMA00126,OMA00897,PPI
OMA00137,OMA00897,PPI
OMA00138,OMA00897,PPI
OMA00157,OMA00897,PPI
OMA00172,OMA00897,PPI
OMA00178,OMA00897,PPI
OMA00182,OMA00897,PPI
OMA00231,OMA00897,PPI
OMA00254,OMA00897,PPI
OMA00281,OMA00897,PPI
OMA00303,OMA00897,PPI
OMA00333,OMA00897,PPI
OMA00365,OMA00897,PPI
OMA00410,OMA00897,PPI
OMA00415,OMA00897,PPI
OMA00433,OMA00897,PPI
OMA00436,OMA00897,PPI
OMA00514,OMA00897,PPI
OMA00530,OMA00897,PPI
OMA00615,OMA00897,PPI
OMA00649,OMA00897,PPI
OMA00701,OMA00897,PPI
OMA00897,OMA00255,PPI
OMA00897,OMA00897,PPI
OMA00897,OMA01844,PPI
OMA00897,OMA02744,PPI
OMA00897,OMA04413,PPI
OMA00921,OMA00897,PPI
OMA00964,OMA00897,PPI
OMA01170,OMA00897,PPI
OMA01176,OMA00897,PPI
OMA01446,OMA00897,PPI
OMA01472,OMA00897,PPI
OMA01746,OMA00897,PPI
OMA01750,OMA00897,PPI
OMA01880,OMA00897,PPI
